# ccx tau_xx tau_yy tau_zz cp yplus
0.0622283 -6.01857e-05 2.42946e-05 -4.12867e-37 -1.12249 0.444043
0.0641691 -6.70143e-05 2.69353e-05 3.07491e-25 -1.12578 0.468045
0.0661496 -6.39389e-05 2.44758e-05 -1.55574e-29 -1.19296 0.457764
0.0681704 -5.7177e-05 2.18228e-05 -2.97789e-25 -1.14827 0.432738
0.0702242 -6.22738e-05 2.36094e-05 4.80259e-21 -1.16478 0.451068
0.0723106 -6.26005e-05 2.37534e-05 1.44345e-25 -1.18559 0.451916
0.0744302 -7.08092e-05 2.67486e-05 -1.41982e-25 -1.18854 0.48017
0.0765929 -6.59735e-05 2.33757e-05 -7.68913e-28 -1.27979 0.464273
0.0787983 -5.83144e-05 2.07077e-05 -1.46937e-39 -1.21054 0.43631
0.0810372 -6.5268e-05 2.2994e-05 -4.44396e-21 -1.24513 0.461049
0.08331 -6.67136e-05 2.3521e-05 2.67132e-25 -1.26426 0.465823
0.0856194 -7.4569e-05 2.57041e-05 -1.31602e-25 -1.28846 0.492372
0.0879766 -6.56922e-05 2.08773e-05 -4.24702e-21 -1.37405 0.463007
0.0903791 -5.79717e-05 1.84494e-05 4.18899e-21 -1.28518 0.43478
0.0928163 -6.4717e-05 2.04328e-05 -8.25685e-21 -1.32592 0.458903
0.0952885 -6.84618e-05 2.16071e-05 4.4081e-39 -1.32826 0.47172
0.0978015 -7.09773e-05 2.13786e-05 8.02307e-21 -1.38295 0.480525
0.100361 -6.26048e-05 1.79813e-05 -7.91239e-21 -1.39497 0.451598
0.102961 -6.26434e-05 1.79251e-05 -7.80775e-21 -1.35692 0.451463
0.105597 -6.58566e-05 1.87907e-05 -7.70075e-21 -1.39782 0.46256
0.108268 -7.53718e-05 2.14302e-05 7.59677e-21 -1.39106 0.494563
0.110987 -6.99608e-05 1.78456e-05 2.28727e-25 -1.51566 0.477131
0.113753 -5.88216e-05 1.48063e-05 -1.12913e-25 -1.4171 0.437536
0.116557 -6.55331e-05 1.63507e-05 -1.11472e-25 -1.44534 0.461457
0.119398 -6.95777e-05 1.73472e-05 -7.2095e-21 -1.45569 0.475249
0.122283 -7.44986e-05 1.75631e-05 1.08396e-25 -1.50268 0.491886
0.12522 -6.34918e-05 1.34714e-05 -1.07027e-25 -1.54817 0.454456
0.128202 -5.97543e-05 1.26439e-05 -5.60519e-45 -1.46028 0.440733
0.13122 -6.45202e-05 1.35808e-05 3.07563e-38 -1.50744 0.457682
0.134276 -7.37603e-05 1.5485e-05 3.43827e-37 -1.48503 0.489181
0.137377 -6.8072e-05 1.23444e-05 0 -1.61468 0.470225
0.140528 -5.82984e-05 1.04419e-05 0 -1.49546 0.435135
0.143722 -6.51421e-05 1.15718e-05 -2.21636e-37 -1.53967 0.459694
0.146955 -7.21701e-05 1.28029e-05 -9.8131e-26 -1.53157 0.483698
0.150231 -7.20373e-05 1.10834e-05 9.70279e-26 -1.62854 0.483366
0.153556 -5.92527e-05 8.10097e-06 6.28866e-21 -1.59086 0.438431
0.156925 -6.02938e-05 8.18729e-06 -9.47744e-26 -1.54606 0.442132
0.160337 -6.72069e-05 9.08781e-06 3.06414e-21 -1.57012 0.466614
0.163794 -7.21841e-05 8.71178e-06 9.24852e-26 -1.60157 0.483561
0.167298 -5.86347e-05 5.18889e-06 -2.99792e-21 -1.65759 0.435728
0.170845 -5.21694e-05 4.58713e-06 2.96919e-21 -1.52012 0.410994
0.174436 -5.86477e-05 5.1206e-06 9.18355e-41 -1.56025 0.435618
0.178074 -6.55675e-05 5.44137e-06 4.41628e-26 -1.52559 0.460563
0.181755 -5.73683e-05 2.9696e-06 4.87024e-30 -1.6256 0.430521
